Police force,Population,Home Office published data 2009-10_FTE equivalent staff_Police Officers,Workforce by function FTE_Police Officers (as at 31/03/2010)_Community,Workforce by function FTE_Police Officers (as at 31/03/2010)_Roads policing,Workforce by function FTE_Police Officers (as at 31/03/2010)_Specialist functions,Workforce by function FTE_Police Officers (as at 31/03/2010)_Investigation,Workforce by function FTE_Police Officers (as at 31/03/2010)_Intelligence,Workforce by function FTE_Police Officers (as at 31/03/2010)_Forensics,Workforce by function FTE_Police Officers (as at 31/03/2010)_Operational support,Workforce by function FTE_Police Officers (as at 31/03/2010)_Dealing with the public,Workforce by function FTE_Police Officers (as at 31/03/2010)_Criminal justice,Workforce by function FTE_Police Officers (as at 31/03/2010)_Custody,Workforce by function FTE_Police Officers (as at 31/03/2010)_Business support,Workforce by function FTE_Police Officers (as at 31/03/2010)_Training,Workforce by function FTE_Police Officers (as at 31/03/2010)_Other,Workforce by function FTE_Police Officers (as at 31/03/2010)_Local Policing,Workforce by function FTE_Police Officers (as at 31/03/2010)_National Functions,Workforce by function FTE_Police Officers (as at 31/03/2010)_Not available for duty,Workforce by function FTE_Police Officers (as at 31/03/2010)_Total
 North Wales ,"678,000","1,590",792,88,98,245,24,0,60,61,6,39,37,28,0,"1,477",65,48,"1,590"
 North Yorkshire ,"788,400","1,486",779,99,113,190,61,0,45,15,20,34,13,8,0,"1,377",14,94,"1,486"
 Northamptonshire ,"679,200","1,343",548,68,89,342,49,0,22,27,11,35,41,41,0,"1,273",14,56,"1,343"
 Northumbria ,"1,407,000","4,187","2,165",189,215,669,225,5,80,76,59,75,66,69,0,"3,894",43,250,"4,187"
 Nottinghamshire ,"1,069,900","2,409","1,240",47,154,535,146,1,56,36,2,70,32,29,0,"2,347",24,38,"2,409"
 South Wales ,"1,246,100","3,148","1,512",143,143,550,85,9,115,29,68,78,69,79,0,"2,879",78,190,"3,148"
 South Yorkshire ,"1,307,200","2,953","1,413",130,205,646,99,5,115,11,13,69,33,50,0,"2,788",42,145,"2,974"
 Staffordshire ,"1,066,200","2,161","1,128",67,130,426,37,4,53,43,37,43,35,17,0,"2,018",17,127,"2,161"
 Suffolk ,"710,600","1,246",650,67,67,234,42,0,42,10,0,36,18,34,0,"1,199",21,26,"1,246"
 Surrey ,"1,100,700","1,890",626,100,128,542,61,0,90,26,29,34,36,38,0,"1,710",26,154,"1,890"
 Sussex ,"1,553,500","3,213","1,484",159,147,519,103,0,79,31,85,77,38,91,0,"2,813",244,157,"3,213"
 Thames Valley ,"2,201,900","4,434","1,817",228,217,785,214,0,191,42,68,85,61,94,0,"3,801",205,428,"4,434"
 Warwickshire ,"533,200",973,547,10,43,144,43,1,25,20,5,39,11,8,36,931,12,30,973
 West Mercia ,"1,186,700","2,391","1,346",101,122,475,89,0,50,8,24,54,25,38,0,"2,332",20,39,"2,391"
 West Midlands ,"2,622,300","8,626","4,894",351,375,"1,349",139,3,284,146,66,124,135,196,0,"8,061",360,206,"8,627"
 West Yorkshire ,"2,207,000","5,758","3,074",315,323,759,141,8,170,96,28,86,92,112,2,"5,206",205,348,"5,758"
 Wiltshire ,"650,100","1,181",509,83,52,200,56,0,74,23,5,22,23,54,0,"1,100",74,7,"1,181"
