ONS Code,Region/Local Authority,Dry,Wet or flood,Snow or ice,Fatal,Serious,Slight,All
E10000019,Lincolnshire,1296,590,72,56,324,1608,1988
E10000021,Northamptonshire,874,307,23,26,242,936,1204
E06000018,Nottingham,637,208,10,6,120,767,893
E10000024,Nottinghamshire,1153,448,33,21,282,1388,1691
E06000017,Rutland,45,27,5,1,16,60,77
E12000005,West Midlands,8813,3061,201,152,2013,10077,12242
E08000025,Birmingham,2120,585,22,25,421,2341,2787
E08000026,Coventry,500,143,11,6,108,550,664
E08000027,Dudley,347,132,6,4,110,390,504
E06000019,"Herefordshire, County of ",257,113,15,6,82,297,385
E08000028,Sandwell,448,146,5,8,108,495,611
E06000051,Shropshire,428,193,11,16,138,478,632
E08000029,Solihull,220,73,5,4,49,252,305
E10000028,Staffordshire,1323,521,42,23,224,1663,1910
E06000021,Stoke-on-Trent,453,197,9,7,70,595,672
E06000020,Telford and Wrekin,177,68,6,2,41,208,251
E08000030,Walsall,390,137,4,9,75,453,537
E10000031,Warwickshire,1056,364,35,24,316,1115,1455
E08000031,Wolverhampton,360,117,4,4,73,420,497
E10000034,Worcestershire,734,272,26,14,198,820,1032
E12000006,East of England,9706,3545,196,197,2430,10870,13497
E06000055,Bedford,285,99,10,4,67,323,394
E10000003,Cambridgeshire,1090,442,27,33,266,1274,1573
E06000056,Central Bedfordshire,444,167,10,9,112,500,621
E10000012,Essex,2229,709,27,48,696,2222,2966
E10000015,Hertfordshire,1833,758,42,20,412,2210,2642
E06000032,Luton,410,97,5,3,59,450,512
E10000020,Norfolk,1270,547,38,32,337,1495,1864
E06000031,Peterborough,436,161,7,6,77,525,608
E06000033,Southend-on-Sea,268,63,2,3,85,246,334
E10000029,Suffolk,1119,433,25,32,240,1317,1589
E06000034,Thurrock,322,69,3,7,79,308,394
E12000007,London,20526,4126,124,114,2291,22752,25157
E09000002,Barking and Dagenham,433,73,1,4,30,482,516
E09000003,Barnet,736,200,10,2,70,889,961
E09000004,Bexley,380,75,5,2,46,417,465
E09000005,Brent,753,153,3,3,85,829,917
E09000006,Bromley,617,121,13,3,80,678,761
E09000007,Camden,671,131,3,4,86,728,818
E09000001,City of London,328,37,0,2,48,318,368
E09000008,Croydon,749,128,6,5,64,831,900
E09000009,Ealing,854,152,1,2,88,933,1023
E09000010,Enfield,590,144,2,4,65,702,771
E09000011,Greenwich,505,93,2,3,43,566,612
E09000012,Hackney,736,151,2,4,92,803,899
E09000013,Hammersmith and Fulham,547,86,2,5,70,571,646
E09000014,Haringey,670,159,6,0,74,777,851
E09000015,Harrow,316,91,6,3,39,376,418
E09000016,Havering,519,114,4,5,74,568,647
E09000017,Hillingdon,480,149,5,3,64,582,649
E09000018,Hounslow,704,156,6,3,73,801,877
E09000019,Islington,614,144,3,2,79,690,771
E09000020,Kensington and Chelsea,562,122,0,2,67,625,694
E09000021,Kingston upon Thames,235,47,2,1,35,252,288
E09000022,Lambeth,1093,168,0,1,120,1147,1268
E09000023,Lewisham,755,111,5,2,63,816,881
E09000024,Merton,408,96,7,3,41,471,515
E09000025,Newham,739,106,7,3,70,797,870
E09000026,Redbridge,579,105,2,7,59,629,695
E09000027,Richmond upon Thames,354,73,6,1,45,392,438
E09000028,Southwark,805,176,4,5,76,922,1003
E09000029,Sutton,271,73,3,1,29,320,350
E09000030,Tower Hamlets,920,153,0,7,110,969,1086
E09000031,Waltham Forest,536,120,3,4,56,612,672
E09000032,Wandsworth,777,157,4,5,92,854,951
E09000033,Westminster,1272,249,1,13,156,1376,1545
E09000018,London Airport (Heathrow),18,13,0,0,2,29,31
E12000008,South East,16209,5561,395,265,3970,17944,22179
E06000036,Bracknell Forest,130,57,3,6,29,155,190
E06000043,Brighton and Hove,624,152,3,2,157,620,779
E10000002,Buckinghamshire,712,225,29,21,187,758,966
E10000011,East Sussex,1041,307,28,23,313,1040,1376
E10000014,Hampshire,2129,765,60,43,661,2250,2954
E06000046,Isle of Wight,238,76,15,2,68,259,329
E10000016,Kent,3220,1128,80,44,753,3631,4428
E06000035,Medway,429,170,8,3,78,538,619
E06000042,Milton Keynes,431,164,6,7,90,504,601
E10000025,Oxfordshire,1005,447,46,29,296,1173,1498
E06000044,Portsmouth,460,99,2,3,99,459,561
E06000038,Reading,234,67,3,5,39,260,304
E06000039,Slough,327,86,3,4,44,368,416
E06000045,Southampton ,419,110,3,4,110,418,532
E10000030,Surrey,2717,955,68,29,497,3216,3742
E06000037,West Berkshire,200,86,12,8,53,237,298
E10000032,West Sussex,1464,506,18,27,406,1555,1988
E06000040,Windsor and Maidenhead,257,90,5,2,51,299,352
E06000041,Wokingham,172,71,3,3,39,204,246
E12000009,South West,7473,2972,195,154,1847,8639,10640
E06000022,Bath and North East Somerset,159,80,4,7,26,210,243
E06000028,Bournemouth,314,88,4,3,64,339,406
E06000023,"Bristol, City of",763,254,6,4,103,916,1023
E06000052,Cornwall,774,405,24,22,247,934,1203
E10000008,Devon,1047,490,40,19,319,1239,1577
E10000009,Dorset,620,216,24,11,194,655,860
E10000013,Gloucestershire,638,195,13,23,219,604,846
E06000053,Isles of Scilly,0,1,0,0,1,0,1
E06000024,North Somerset,237,88,1,4,39,283,326
E06000026,Plymouth,385,149,4,5,83,450,538
E06000029,Poole,235,68,2,2,64,239,305
E10000027,Somerset,749,284,20,23,138,892,1053
E06000025,South Gloucestershire,288,102,9,5,42,352,399
E06000030,Swindon,325,161,9,1,74,420,495
E06000027,Torbay,189,78,0,3,44,220,267
E06000054,Wiltshire,750,313,35,22,190,886,1098
E92000001,England,90739,29985,1865,1425,19416,102512,123353
