ONS Code,Region/Local Authority,Dry,Wet or flood,Snow or ice,Fatal,Serious,Slight,All
E09000002,Barking and Dagenham,363,64,4,5,33,393,431
E09000003,Barnet,776,200,17,8,118,867,993
E09000004,Bexley,307,93,4,1,30,373,404
E09000005,Brent,637,145,7,3,78,708,789
E09000006,Bromley,489,151,12,5,61,586,652
E09000007,Camden,614,164,7,4,99,682,785
E09000001,City of London,275,31,2,1,56,251,308
E09000008,Croydon,697,173,19,13,51,825,889
E09000009,Ealing,785,149,12,4,74,868,946
E09000010,Enfield,608,145,10,6,61,696,763
E09000011,Greenwich,441,118,6,2,26,537,565
E09000012,Hackney,643,151,12,5,76,725,806
E09000013,Hammersmith and Fulham,509,88,2,3,50,546,599
E09000014,Haringey,604,154,8,5,98,663,766
E09000015,Harrow,258,82,13,1,35,317,353
E09000016,Havering,419,101,7,4,45,478,527
E09000017,Hillingdon,416,114,13,2,51,490,543
E09000018,Hounslow,597,147,9,2,61,690,753
E09000019,Islington,620,137,5,3,68,691,762
E09000020,Kensington and Chelsea,537,113,6,2,59,595,656
E09000021,Kingston upon Thames,304,84,4,1,34,357,392
E09000022,Lambeth,983,183,3,7,117,1045,1169
E09000023,Lewisham,669,132,8,6,57,746,809
E09000024,Merton,358,74,5,0,32,405,437
E09000025,Newham,549,140,6,3,51,641,695
E09000026,Redbridge,554,99,3,2,48,606,656
E09000027,Richmond upon Thames,369,94,5,0,46,422,468
E09000028,Southwark,702,177,2,5,80,796,881
E09000029,Sutton,322,66,4,2,26,364,392
E09000030,Tower Hamlets,754,175,3,6,79,847,932
E09000031,Waltham Forest,449,98,13,3,49,508,560
E09000032,Wandsworth,692,168,11,5,94,772,871
E09000033,Westminster,1291,215,8,6,167,1341,1514
E09000018,London Airport (Heathrow),21,10,0,1,2,28,31
E12000008,South East,15544,5973,702,224,3566,18488,22278
E06000036,Bracknell Forest,141,64,4,2,26,181,209
E06000043,Brighton and Hove,570,151,17,3,136,599,738
E10000002,Buckinghamshire,716,290,64,20,169,881,1070
E10000011,East Sussex,929,327,39,17,283,995,1295
E10000014,Hampshire,2046,797,84,42,616,2269,2927
E06000046,Isle of Wight,242,77,12,4,76,251,331
E10000016,Kent,2901,1193,156,46,485,3721,4252
E06000035,Medway,431,181,8,6,43,571,620
E06000042,Milton Keynes,486,199,22,3,75,629,707
E10000025,Oxfordshire,991,446,67,19,274,1211,1504
E06000044,Portsmouth,491,109,7,1,112,494,607
E06000038,Reading,262,94,6,2,46,314,362
E06000039,Slough,312,80,6,3,46,349,398
E06000045,Southampton ,426,180,4,4,117,489,610
E10000030,Surrey,2598,1021,117,18,554,3221,3793
E06000037,West Berkshire,213,100,13,3,45,278,326
E10000032,West Sussex,1347,505,63,28,368,1519,1915
E06000040,Windsor and Maidenhead,273,82,9,2,46,316,364
E06000041,Wokingham,169,77,4,1,49,200,250
E12000009,South West,7846,3196,217,180,1625,9454,11259
E06000022,Bath and North East Somerset,217,97,6,6,42,272,320
E06000028,Bournemouth,408,109,1,2,70,446,518
E06000023,"Bristol, City of",706,215,15,12,93,831,936
E06000052,Cornwall,859,400,25,23,177,1084,1284
E10000008,Devon,1129,532,46,15,266,1426,1707
E10000009,Dorset,676,212,15,22,166,715,903
E10000013,Gloucestershire,508,247,20,30,160,585,775
E06000053,Isles of Scilly,3,0,0,0,0,3,3
E06000024,North Somerset,292,107,4,4,55,344,403
E06000026,Plymouth,443,185,5,1,60,572,633
E06000029,Poole,269,80,4,3,63,287,353
E10000027,Somerset,783,350,24,28,170,959,1157
E06000025,South Gloucestershire,365,121,7,8,51,434,493
E06000030,Swindon,268,119,8,7,49,339,395
E06000027,Torbay,227,69,1,2,49,246,297
E06000054,Wiltshire,693,353,36,17,154,911,1082
E92000001,England,87762,32121,3650,1345,17303,105138,123786
