POA category,Avon and Somerset,Bedfordshire,Cambridgeshire,Cheshire,City of London,Cleveland,Cumbria,Derbyshire,Devon and Cornwall,Dorset,Durham,Dyfed-Powys,Essex,Gloucestershire,Greater Manchester,Gwent,Hampshire,Hertfordshire,Humberside,Kent,Lancashire,Leicestershire,Lincolnshire,Merseyside,Metropolitan Police,Norfolk,North Wales,North Yorkshire,Northamptonshire,Northumbria,Nottinghamshire,South Wales,South Yorkshire,Staffordshire,Suffolk,Surrey,Sussex,Thames Valley,Warwickshire,West Mercia,West Midlands,West Yorkshire,Wiltshire
TOTAL PUBLIC PROTECTION,179.8,159,201,179.8,11,113,46.73,134.1,181,97.25,68.31,93,396.15,66.5,534.3,57,145.8,158.35,149.59,219,194,175.9,92.2,317.79,2820.8,157.6,104.9,95.8,72,288.745,176.5880833,210,189.38,76,120,205.5,292.8,264.61,39,88,639.2,545.34,58
Witness Protection (adult and child),0,0,0,76,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,28.1,0,0,0,5,3.5,0,2,0,0,0,0,0,11,0,0,0,0.41,0
Child Protection,103.32,13,62,18,0,27,0,58,11,46.75,0,0,96,41,0,3,74,43.95,0,16,7,73.4,18,0,1204.7,71.85,15,0,10,91.12,67.78804818,91,109.39,23,0,17,9,117.39,0,0,247.65,0,27
Adult Protection,76.48,0,99,85.8,0,28,0,62.4,170,38.5,12,0,202.15,25,0,0,30,109.4,0,201,0,63.8,73.2,0,1588,30,0,0,24,194.125,55.37001758,30,77.99,50,15,100,0,136.22,0,0,347.12,0,30
Joint Teams,0,142,0,0,11,56,46.73,9.7,0,12,55.31,93,84,0,534.3,53,40.8,0,149.59,2,186,38.7,0,314.79,0,52.75,88.9,95.8,0,0,53.43001758,87,0,0,101,82,277.8,0,39,88,32.43,544.93,0
Public Protection Command Team and Support Overheads,0,4,40,0,0,1,0,4,0,0,1,0,14,0.5,0,0,1,5,0,0,0,0,1,0,0,3,1,0,33,0,0,0,2,3,4,6.5,6,0,0,0,12,0,1
TOTAL INVESTIGATIONS,71.3,88.9,71.3,108.4,169,125,25.39,129.2,108.25,29.5,45.8,32,131.4,38.5,391.9,31,116,132.3,70.95,136,84,146.6,66.8,264.5,1886.7,48,45.92,51.7,90,124.16,91.65033333,130,59.3,87,42.25,80.5,71,161.29,37.1,80.8,548.39,233.09,46
Investigations Command Team and Support Overheads,10,8,2,6,17,2,1.05,1,17.25,4,4,4,2.5,3.5,22.37,6,3,2.5,10,10,5,13.8,4,9,4.7,5,2,2,3,12,9.33,7,2,8,4.25,9,6,4,0.9,2.1,14,14,1
Major Investigations Unit,38.3,27.2,32,48,17,61,1.95,29,59,18.5,14.8,5,61.4,13,134.83,13,35,40,28.4,58.5,33,30.8,21,78,939.9,23,14.56,15,21,36.45,23.75033333,47,2.5,27,23,26,30,53.19,20.5,45.5,299.92,98,15
Economic Crime (including Regional Asset Recovery Team),11,4.1,5.2,29.4,118,17,4.87,14.4,12,1,8,1,32.5,3,60.92,3,26,8,5,33.5,13,18.5,8,45.5,218.5,0,7.53,10.2,9,12.21,13.25,19,10.8,9,0,8.5,13,33.04,3.4,7.6,62.04,30.09,5
Specialist Investigation Units,0,14.6,17.1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,21.82,0,0,0,0,11,1,2.8,1,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1
Serious & Organised Crime Unit,10,23,15,24,13,39,17.52,80.8,20,3,12,16,28.5,19,169.78,9,52,56.98,23.55,28.5,33,70.5,21.8,98,698.2,14,14.83,8.8,36,54,39.32,46,38,36,9,35,20,64.06,12,24.9,164.43,83,24
Cyber Crime,2,12,0,1,4,6,0,4,0,3,7,6,5.5,0,3,0,0,3,4,5.5,0,13,1,33,22.6,5,4,15.7,21,9.5,6,11,6,0,6,2,2,7,0.3,0.7,8,8,0
TOTAL INVESTIGATIVE SUPPORT,0,0,3,15,10,0,3.61,11,6,2,1,1,0,3,3.06,6,9,0.5,4,0,4,1,2,4,110.2,2,6,4.9,0,0,3.05,6,8,3,3,0,0,0,3.1,6.9,35.8,1,1
Scenes of Crime Officers,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0
External Forensic Costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fingerprint / Internal Forensic Costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Photographic Image Recovery,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,110.2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,17,0,0
Other Forensic Services,0,0,3,14,10,0,3.31,11,6,0,0,0,0,3,1,2,3,0,4,0,4,0,1,4,0,2,6,4.9,0,0,0,1,8,3,3,0,0,0,3.1,6.9,17.8,1,1
Investigative Support Command Team and Support Overheads,0,0,0,1,0,0,0.3,0,0,0,1,0,0,0,1.06,4,1,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0.05,2,0,0,0,0,0,0,0,0,0,0,0
TOTAL SUPPORT FUNCTIONS,82.44575,40.7,52,65,41,61.5,59.19,51,70.2,33,43,48,87.6,43.36,276.47,55.5,83,44,62.63,111,126,59.8,26.9,136,1235.7,45.5,40.85,38,36.32,97.605,39.24666667,125,72.4,30,25.5,94.8,113.7,127.24,27.9,59.1,136.93,272.7,40
Information Communication Technology,0,0,0,0,0,0,2.92,0,0,0,0,0,1.5,0,0,7,2,5.5,6,1.5,5,0,5,0,6.6,0,0,0,0,0,2,12,0,2,0,0,0,0,0,0,0,3,0
Estates / Central Building Costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Human Resources,1,0,0,5,0,2,0,0,16,0,0,0,4,0,2.1,0,0,1,0,3,1,0,0,1,15.1,0,0,0,3.32,0,0,3,0.5,0,0,1,0,1,0,0,1,1,0
Finance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Training,55.44575,21,20,32,22,18,18.3,31,39.2,15,24,27,58.1,21.36,129.91,17.5,51,3.5,31.15,72,60,18.4,4.9,55,442,26,24.85,16.6,16,54.265,5.8,59,37.9,4,14,64,91.7,76.67,15.8,35.2,70.2,127.7,19
Performance Review / Corporate Development,1,7.7,14,3,5,14,20.44,3,4,2,5,3,0,2,33.98,10,1,8,4,5,29,9,2,12,41.1,2,3,7.8,3,9.9,3.28,14,7,8,0,2,3,8.77,2.2,4.8,23.93,77,4
Legal Services,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Administration Support,0,0,0,2,0,1,1.95,0,0,0,0,1,0,2,34.96,0,1,6,4,1,0,0,0,0,207.3,1,0,0,0,0,10.45,0,0,0,1,4.6,0,11,0,0,2,1,0
Professional Standards,12,5,6,15,8,16,8.76,9,8,6,8,10,12,11,50.46,14,13,10,6,16,17,23.4,7,52,492.3,7.5,8,2.9,9,21.44,11.71666667,23,17,8,5.5,13.2,9,10,4,9,19.8,45,7
Other support functions,13,7,12,8,6,9,6.82,8,3,10,6,7,12,7,25.06,7,14,10,11.48,12.5,14,9,8,10,31.3,9,5,10.7,5,12,6,14,10,8,5,10,10,19.8,5.9,10.1,20,17,10
Fleet Services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Press & Media,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Procurement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Force Command,7,5,10,8,4,5,4.87,6,3,7,4,5,10,5,16.03,5,10,6,8,9.5,9,7,5,5,17.2,7,4,7.8,4,8,3,9,7,5,3,7,6,6,3.9,7.1,11,12,8
Support to Associations and Trade Unions,6,2,2,0,2,4,1.95,2,0,3,2,2,2,2,9.03,2,4,4,3.48,3,4,2,3,5,14.1,2,1,2.9,1,4,3,5,3,3,2,3,4,13.8,2,3,9,5,2
Social Club Support & Force Band,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Insurance / Risk Management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL CENTRAL COSTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Revenue Contribution to Capital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Capital Financing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pensions and Exit Costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL POLICE CRIME COMMISSIONER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cost of the Democratic Process,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Office of Police Crime Commissioner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCC Share of any Formal Shared Service Arrangement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCC Commissioned Services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL NATIONAL POLICING,117.36,223.8,16,11,68.8,22,15.79,35,16.2,49.5,28,79.6,120,49,303.17,27,99.5,21,44.8,209.8,92,59.6,26,97.2,3769.6,43,65.6,32.2,31,40.775,59.1,87,32.8,38.6,13,15,93,276,10.2,17.8,365.42,303,39.6
Secondments (out of Force),27.36,0,8,0,0,4,8,0,6,16,10,26,23,0,23,8,0,7,9,10,24,8,7,22,87.6,0,10,6.8,13,9.3,33.25,10,9,19.6,0,0,0,0,3,2,20,21,17
Counter Terrorism / Special Branch,90,223.8,8,11,18.8,18,7.79,35,0,33.5,18,53.6,97,11,274.17,17,74,14,35.8,194.8,68,51.6,19,75.2,2028.1,16,55.6,24.4,18,31.475,25.85,66,23.8,19,13,15,93,175,7.2,15.8,344.42,282,11
ACPO Projects / Initiatives,0,0,0,0,0,0,0,0,10.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hosting National Services,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,25.5,0,0,0,0,0,0,0,10.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Other National Policing Requirements,0,0,0,0,0,0,0,0,0,0,0,0,0,38,6,1,0,0,0,5,0,0,0,0,1643.5,25,0,0,0,0,0,11,0,0,0,0,0,101,0,0,0,0,11.6
Level 2 Summary,2600.10325,1289.5,1350.3,2026.2,735,1274.3,1100.2,1689,2944.65,1199.95,1159.31,1203.8,2872.96,1060,6296.36,1204,2875.5,1943.13,1734.7,3271.78,2905,1837.2,1072.6,3553.94,30509.8,1474.6,1497.16775,1366.1,1237.32,3236.075,1806.314417,2960,2390.04,1549.61,1097,1925.25,2616.3,4073.21,907.7,1999.1,6578.06,4845.37,978
TOTAL excl NATIONAL POLICING,2482.74325,1065.7,1334.3,2015.2,666.2,1252.3,1084.41,1654,2928.45,1150.45,1131.31,1124.2,2752.96,1011,5993.19,1177,2776,1922.13,1689.9,3061.98,2813,1777.6,1046.6,3456.74,26740.2,1431.6,1431.56775,1333.9,1206.32,3195.3,1747.214417,2873,2357.24,1511.01,1084,1910.25,2523.3,3797.21,897.5,1981.3,6212.64,4542.37,938.4
