Function,Avon & Somerset,Bedfordshire,Cambridgeshire,Cheshire,Cleveland,Cumbria,Derbyshire,Devon & Cornwall,Dorset,Durham,Essex,Gloucestershire,Hampshire,Hertfordshire,Humberside,Kent,Lancashire,Leicestershire,Lincolnshire,Norfolk,Northamptonshire,North Yorkshire,Nottinghamshire,Staffordshire,Suffolk,Surrey,Sussex,Thames Valley,Warwickshire,West Mercia,Wiltshire,Dyfed-Powys,Gwent,North Wales,South Wales,Greater Manchester,Merseyside,South Yorkshire,Northumbria,West Midlands,West Yorkshire,City of London,Metropolitan
Custody,109,27,40.6,48,62.1,28,30.7,79.481,26.8,30,95.5,16,89,0,25,72,65,47,34,107.6,33,31.8,52.75,51.31,43,44.6,77.7,89,21,55,31,40.3,27,44.4,78.5,111,100,65,79,148.3,78.03,18,187.2
Criminal Justice,40,2,7.5,16.37,6.03,4,0.3,5.124,6.6,31.5,10,0,9.9,43.8983,19,13.85,3,12.8,0,4,12,13,2,12.57,0,0,84,38.7,1,10,1,6.3,0,3,125.6,16,87,8.5,12,14.4,5.71,11,881.7
Police National Computer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
Criminal Records Bureau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Coroner Assistance,0,0,0,0,0.5,0,0,0,0,2,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,1,0,0,0,1,1
Fixed Penalty Schemes (Central Ticket Office),0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.8,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Property Officer / Stores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5
Criminal Justice Arrangements Command Team & Support Overheads,4,1.7,0,1,3,3,1,3.416,2,1,1,2,0,2,0,5.98,0,2,1,0.57,0,1,4,1.12,1,0,2,6,0.4,3,0,0,0,1,1,3,4,3,8,4,5.49,0,0
TOTAL CRIMINAL JUSTICE ARRANGEMENTS,153,31.7,48.1,65.4,72.6,35,32,88,35.4,64.5,106.5,18,98.9,45.9,44,92.7,77,61.8,36,112.2,45,45.8,58.8,65,45,44.6,164.7,136.7,22.4,68,32,47.6,27,48.4,206.1,140,195,77.5,99,166.7,89.2,30,1075.4
Traffic Units,123,56,81.15,105.6,104.54,89.2,78.5,114.04,52,92,48,56,160,124.715,106,120.9,158,72.6,46,106,57.7,91.6,31,47.68,75,104,150.6,208,70,105,71,88.2,73,65,132.3,335,154,124.2,166,221.5,251.1436,41,658.5
Traffic Wardens / PCSOs - Traffic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vehicle Recovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casualty Reduction Partnership,3,1,2.67,2,0,0,9,2.879,0,1,0,3,0,1,1,0,1,1,0,0,3.5,0,2,1,0,3,0,4,3,2,0,1,2,3,2.9,0,0,0,5,3,1,0,3
Road Policing Command Team and Support Overheads,1,0.5,0,1,0,2,1.9,1.957,0,0,0,0,0,0,0,5,0,0,2,0,0,2,0,1,0,0,3,0,0.3,0,2,0,1,1,1,0,0,0,0,1,0,0,0
TOTAL ROAD POLICING,127,57.5,83.9,108.6,104.5,91.2,89.4,118.9,52,93,48,59,160,125.7,107,125.9,159,73.6,48,106,61.2,93.6,33,49.7,75,107,154.6,212,73.3,107,73,89.2,76,69,136.2,335,154,124.2,171,225.5,252.1,41,661.5
Central Operations Command Team & Support Overheads,2,1.6,3.15,2.8,1,2,2.1,1.23,3,0,14,2,12,1,2,19.65,12,5,4,8.7,0,3,7,4,2.3,1,5,6,4,4,7,2.9,9,2,4.9,14,15,8,20,6,14,2,8.3
Air Operations,0,5,1,6,10.33,0,4,10.556,11,4,5,3,0,4,8.98989899,5,9,4,0,1,3,0,4,2,5.5,5,3,8,3,4,3,5.7,5,8,4.9,22,8,10,7,11,12,0,18
Mounted Police,10,0,0,0,6,0,0,0,0,0,4.5,0,0,0,6,0,17,0,0,0,0,0,4.8,0,0,0,0,9.5,0,0,0,0,0,0,6.9,29,17,12,7,0,21,11,143
Specialist Terrain,8,0,0,0,0,2,0,7.677,7,0,10,0,10,0,4.444444444,10,2,0,0,0,0,0,0,0,0,2,8,8,0,0,0,0,0,0,6.9,2,2.4,10,11,0,8.6,0,73
Dogs Section,42,10.8,17.14,18,18.6,13,18.3,38.387,20,22,6,16,33,20,19.96969697,30,18,21,18,15.3,12,18.5,22,20,11,33,31,36,9.5,34,16,18.3,17,10,45.2,51,41,40,49,61,35,19,213
Level 1 Advanced Public Order,64,0,70.61,113.6,2,25,22.2,43.185,5,0,3,22,37,64.75,42,19,87,26,26,0,0,50.3,29,23,0,0,7,10,0,7,1,0,22,0,43.7,109,66,44.6,0,72.01,91,39,884
Airports & Ports Policing Unit,7,10,0,0,0,0,0,0,0,0,94,0,0,0,5,0,0,13,0,0,0,0,0,0,0,0,146.4,0,2,0,0,0,0,0,7.9,110,12,4,9,53.2,0,0,318
Firearms Unit,103,47.2,41.01,65,3,4.2,54.3,99.567,51,18,111,36,78,46,34.65,58,80,56.9,23.7,9,55.8,64.5,68,55.76,44,62,48,106,2.5,28,46.3,47,47,50.8,86.4,180,147,96.6,84,147,107,52,528.2
Civil Contingencies,8,5.8,3,8,0,4,10.7,10.316,5,7,5,6,18,5.8125,3.96,9,8,13,2,7,6,11.8,4.8,6.75,2,9.1,7.2,19,1.5,4,0,1,8,9,28.5,34,20,13,21,34.1,5,10,20.64
TOTAL SPECIALIST POLICING,244,80.4,135.9,213.4,40.9,50.2,111.6,211,102,51,252.5,85,188,141.6,127.1,150.7,233,138.9,73.7,41,76.8,148.1,139.6,111.6,64.8,112.1,255.6,202.5,22.5,81,73.3,74.9,108,79.8,235.3,551,328.4,238.2,208,384.3,293.6,133,2206.1
Central Intelligence Command Team & Support Overheads,2,1.4,0,2,0,3,0.5,4.385,4,2,5,1,0,0,1,7,2,2,1,3,0,5,1,7,2.3,6,12.9,8,1.33,3,5,4.8,1,1,3.9,7,7,0,6,7,0,2,6
Intelligence Analysis / Threat Assessments,89,2,1,4.41,31.9,30.2,69.5,22.89,0,56.9,58.4,41,35,50.512,44.88888889,73.05,78,57.1,11.8,22.3,0,28.6,85.04,2.43,35.3,13,20.5,100.71,12,14,0,14.1,35,10,63.7,192,99.8,44.5,123,151.5,60.53506667,17,759.9
Intelligence Gathering,38,35,46.3,81,8,42,29.1,86.616,35.3,10,93.9,33,43,34.5591,57.97979798,72.29,85.4,47,31.1,37.5,44.5,35.3,42.35,63.01,14,102,77.6,145,18,90.5,60,11,38.7,26,53,169,87,72.3,71,238.4,70.78333333,21,599.1
TOTAL INTELLIGENCE,129,38.4,47.3,87.4,39.9,75.2,99.1,113.9,39.3,68.9,157.3,75,78,85.1,103.9,152.4,165.4,106.1,43.9,62.8,44.5,68.9,128.4,72.4,51.6,121,111,253.7,31.3,107.5,65,29.9,74.7,37,120.6,368,193.8,116.8,200,396.9,131.3,40,1365
Crime Support Command Team and Support Overheads,2,8,1,4,3.75,7,1.1,15.686,3,8,12,8,5,10,8,12,2,14,3,0,0,1,7,20.53,4.3,7,1,4,1.33,8,9,4.8,4,4,19.6,25,4,4,11,24.3,10,1,39.5
Major Investigations Unit,46,29,29.58,69.91,13.5,6,44.7,62.866,49.6,16.8,63.5,0,42,49.9625,616,55.49,42,52,21,31.6,0,9,72.52,41.33,26,40,35.9,77,32,45,15,4.8,26,16.78,64.7,159,84,78,215,443,128,30,1039.5
Economic Crime (including Regional Asset Recovery Team),13,7,0,19.7,12.08,8,21.5,20.153,9,13,16,0,24.5,18.6,8,18.55,6,28.3,2,13,13.71,11.3,23,9.72,4.5,8.5,18.3,20,0,16,1,2.9,7,7.28,28.5,55,20,15,12,56,61.4,74,237.9
Specialst Investigation Units,0,0,0,0,0,0,0.9,0,0,26.9,0,1,0,8.4665,15.15151515,5.6,0,24,1,5.1,0,0,15,1.6,0,78,13.7,0,0,1,0,0,0,2,0,1,1,0,0,0,0,22,0
Serious & Organised Crime Unit,63,93,23.22,27,48.51,16,60.5,39.73,1,14,47.5,8,45.3,12,13,20,59,75.3,24,33.7,0,13.5,46.7,14,24,4,42,44,36,34.96,28,18.2,20.45,18,28.3,89,201.5,51.5,78,153,96.60853333,1,700
Public Protection,148,73,135.4,134.07,56,47.3,101,224.763,52,62.9,195,48,170,74.1073,99.70707071,159.93,136.3,131.7,67.6,83.8,41.44,59.3,162.13,113.82,43.2,127.4,150.3,219.06,40,121.19,48,47.9,116.99,70.56,121.8,493,86.8,119.5,120,443.8,238.3492,11,2170.9
Local Investigation/ prisoner processing,370,148,0,192.59,229,106.6,218.8,707.94,145.2,193,306,122,403.1,329.423,271.5050505,475.3,444.1,214.6,176.6,122.1,261.73,130.6,213.64,178.31,183.5,352.8,359.4,581.2,179,256.6,200,78.7,95,150,278.8,1372,491,403.3,165,947.8,913.3775743,58,3355.7
TOTAL INVESTIGATIONS,642,358,189.2,447.3,362.9,190.9,448.5,1071.2,259.8,334.6,640,187,689.9,502.6,1031.4,746.9,689.4,539.9,295.2,289.3,316.8,224.7,539.9,379.2,285.5,617.7,620.6,945.3,288.3,482.8,301,157.3,269.5,268.7,541.7,2194,888.3,671.3,601,2067.9,1447.7,197,7543.5
Scenes of Crime Officers,0,0,0,0,4.5,0,0,4.798,0,0,38.5,1,18,0,3.444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,6,0,3.9,0,1,1,2,0,0,6,3.5
External Forensic Costs,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fingerprint / Internal Forensic Costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Photographic Image Recovery,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,2,5,0,0,0,0,0,0
Other Forensic Services,3,3,1,11,0,3,0,0.959,2,0,0,3,12,0,4,1,2,2,0,0,0,2,0,3,3,0,2,8,1,2,3,0,3,4,2.9,15,9,1,1,30,1,5,1
Investigative Support Command Team and Support Overheads,0,0.5,0,0,0,0,0,0.063,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1
TOTAL INVESTIGATIVE SUPPORT,3,8.5,1,15,4.5,3,0,5.9,2,0,39,4,31,0,7.4,1,2,2,0,0,1,2,0,3,3,5,2,8,3,2,3,2.9,9,4,7.8,17,15,2,4,30,2,11,5.5
Secondments (out of Force),7,0,6.6,0,7,7,7,0,11,12,0,0,0,13,0,0,14,24,16,2.66,23,5.2,17,6,13,31,0,0,12,11,16,23,2,5,14.7,36.8,36,14,15,17,10,0,0
Counter Terrorism / Special Branch,89,46.6,10.75,17,23.53,8,32.3,41.746,50.4,22,138,17,77,11,25,200.75,75,43.4,13,23.9,20,27.7,18,13.8,19,24,106.9,39,7,18,13,60,12,58,74.2,297,76,33.9,33,316,278,25,1987.1
ACPO Projects / Initiatives,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
Hosting National Services,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.6,15
Other National Policing Requirements,0,0,0,0,0,0,0,1.919,10,0,8,48,0,0,0,1,0,2,0,3,0,0,0,0,0,0,14.7,104,0,0,11.7,0,1,22,14.7,4,8,0,0,15,0,0,2179.6
TOTAL NATIONAL POLICING,96,46.6,17.4,17,30.5,15,40.3,43.6,71.4,34,149,65,80,24,25,201.8,89,69.4,29,29.6,43,32.9,35,19.8,32,55,121.6,143,19,29,41.7,83,15,85,103.6,337.8,120,47.9,48,348,288,128.6,4184.7
Human Resources,0,0,0,0,0,0,3.1,1.919,0,3,1,0,2,0,1,1.9,0,0,0,4.1,0,0,0,1,0.5,1,13.7,2,0,0,1,0,0,3,0,41,6,2,0,0,1,3,150.9
Finance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Legal,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
Fleet Services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8
Estates / Central Building Costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.9
Information Communication Technology,0,0,0,5,0,0,0,0,0,0,1,0,0,2,0,1,2,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,1,6.9,0,1,0.5,0,2,2,0,8
Professional Standards,9,4.2,6.76,14.4,13,8,17.7,9.596,4.6,9,11,10,14,9,9,14,13,17,7,7.6,5,2,13.35,6.22,6.5,13.6,12,13,5,11,7,5.8,7,8,17.5,51,43,18.5,15,34.6,16,10,327
Press & Media,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3.2
Performance Review / Corporate Development,10,6.9,16.98,7,5,1,6.5,8.517,7.8,11,11,0,14,9.9,2,2,16.5,7,2,9.8,3.9,0,1,15.21,4.7,0,18.6,2,5,1,1,5.6,2,17.15,6.9,26,18,9.3,26,57.3,78.52,7,93.8
Procurement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Training,81,19,37,55.75,31.9,14.6,26.9,82.921,26.9,32,65.5,31,61.2,23.325,52.01010101,92.86,55,49.6,10.9,19,21,18,15,12,18,40,111.7,58.65,5,35.45,45,25,20,32.68,79,140,60.6,49.7,58,88.8,83.28333333,28,576.2
Administration Support,0,0,0,3,0,0,9,1.919,1,0,2,9,4,9,3.474747475,0,16.5,0,0,0,0,6,0,4.73,4,4.8,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,2,389.5
Force Command,10,7,3.3,6,6,6,5,5.758,3,4,9.5,5,8,10.75,5,11.5,9,6,6,8.4,6,4,6,5,4.5,9,7,6,4,4,4,3.8,3,4,7.9,13,6,6,9,13,11.5,6,16
Support to Associations and Trade Unions,6,3,4,3,1,3,3,8.637,2,2,4,2,5,5,3.97979798,3,5,3,2,2,2,4,3,2,2,3,4,11.4,2,3,4,1.9,2,1,2.9,9,5,4,6,16,6,2,22.9
Freedom of Information,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Social Club Support & Force Band,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Insurance / Risk Management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL SUPPORT FUNCTIONS,116,40.1,68.1,95.2,57.9,32.6,71.2,119.2,46.3,61,105,57,108.2,69,76.5,147.3,117,83.6,27.9,50.9,40.9,35,39.4,47.1,40.2,71.4,167,95.1,21,54.5,62,42.1,34,67.9,122.1,282,142.6,90,115,212.7,199.3,58,1596.2
Democratic Representation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Police Authority Support,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-24.1,0,0,0,0,0
Other Costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Treasury Management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Internal Audit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL POLICE AUTHORITY /  CRIME COMMISSIONER,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-24.1,0,0,0,0,0
Revenue Contribution to Capital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Capital Financing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pensions and Exit Costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL CENTRAL COSTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Custody,0,0,0,0,0,0,0,0,0,30,0,14,0,0,0,0,65,47,0,107.6,32,0,52.75,51.31,0,0,0,89,0,0,0,40.3,27,44.4,0,0,100,63,0,0,78,0,0
Police doctors / nurses & surgeons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Interpreters & translators,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other custody costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
TOTAL CUSTODY should agree with Questionnaire Column 3A,0,0,0,0,0,0,0,0,0,30,0,14,0,0,0,0,65,47,0,107.6,32,0,52.8,51.3,0,0,0,89,0,0,0,40.3,27,44.4,0,0,100,65,0,0,78,0,0
Level 2 Summary,3080,1168.5,1370.4,1989.9,1504,1164.3,1917,3158.3,1331.8,1370,3415.3,1184,3347.6,1960,2391.6,3480.8,3221.3,2240.4,1097.6,1574.2,1256.8,1406.3,2166,1923.1,1198.1,1979.6,2956.3,4212.9,821,2263.8,1167,1163,1391,1479.2,2947.5,7607.8,3994.6,2764.7,3838,7964.1,5171.9,885.6,31957
